#Initializing at default lattice positions

200 atoms

1 atom types

0	15.1 xlo xhi
0	15.1 ylo yhi
0	15.1 zlo zhi

Atoms

164  1                  9.4                  2.2                  2.2
165  1                 10.6                  2.2                  2.2
166  1                 11.8                  2.2                  2.2
167  1                   13                  2.2                  2.2
168  1                 14.2                  2.2                  2.2
169  1                    1                  3.4                  2.2
170  1                  2.2                  3.4                  2.2
171  1                  3.4                  3.4                  2.2
172  1                  4.6                  3.4                  2.2
173  1                  5.8                  3.4                  2.2
174  1                    7                  3.4                  2.2
175  1                  8.2                  3.4                  2.2
176  1                  9.4                  3.4                  2.2
177  1                 10.6                  3.4                  2.2
178  1                 11.8                  3.4                  2.2
179  1                   13                  3.4                  2.2
180  1                 14.2                  3.4                  2.2
181  1                    1                  4.6                  2.2
182  1                  2.2                  4.6                  2.2
183  1                  3.4                  4.6                  2.2
184  1                  4.6                  4.6                  2.2
185  1                  5.8                  4.6                  2.2
186  1                    7                  4.6                  2.2
187  1                  8.2                  4.6                  2.2
188  1                  9.4                  4.6                  2.2
189  1                 10.6                  4.6                  2.2
190  1                 11.8                  4.6                  2.2
191  1                   13                  4.6                  2.2
192  1                 14.2                  4.6                  2.2
193  1                    1                  5.8                  2.2
194  1                  2.2                  5.8                  2.2
195  1                  3.4                  5.8                  2.2
196  1                  4.6                  5.8                  2.2
197  1                  5.8                  5.8                  2.2
198  1                    7                  5.8                  2.2
199  1                  8.2                  5.8                  2.2
200  1                  9.4                  5.8                  2.2
